# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MEM.ramMinusFileMappingsBytes,1754247710740000000,1754247770704000000,1847529472
OS.loadAverage,1754247710740000000,1754247770704000000,1.2578125
JVM.totalCpuTimeMs,1754247710740000000,1754247770704000000,34680
JVM.newThreadsCount,1754247710740000000,1754247770704000000,2
JVM.maxHeapBytes,1754247710740000000,1754247770704000000,4108320768
JVM.totalTimeToSafepointsMs,1754247710740000000,1754247770704000000,2
JVM.GC.collections,1754247710740000000,1754247770704000000,3
JVM.committedHeapBytes,1754247710740000000,1754247770704000000,918552576
MEM.fileMappingsRamBytes,1754247710740000000,1754247770704000000,284712960
JVM.totalDirectByteBuffersBytes,1754247710740000000,1754247770704000000,553518762
JVM.maxThreadCount,1754247710740000000,1754247770704000000,116
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1754247710740000000,1754247770704000000,0
workspaceModel.updates.ms,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValue.clear.count,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValue.from.cache.count,1754247710740000000,1754247770704000000,755
workspaceModel.cachedValue.total.get.count,1754247710740000000,1754247770704000000,756
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1754247710740000000,1754247770704000000,0
workspaceModel.to.snapshot.ms,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1754247710740000000,1754247770704000000,75
workspaceModel.on.changed.ms,1754247710740000000,1754247770704000000,0
workspaceModel.replace.project.model.ms,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.init.ms,1754247710740000000,1754247770704000000,0
workspaceModel.loading.from.cache.ms,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.instances.count,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1754247710740000000,1754247770704000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1754247710740000000,1754247770704000000,0
workspaceModel.initializing.ms,1754247710740000000,1754247770704000000,0
workspaceModel.pre.handlers.ms,1754247710740000000,1754247770704000000,0
workspaceModel.init.bridges.ms,1754247710740000000,1754247770704000000,0
workspaceModel.collect.changes.ms,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1754247710740000000,1754247770704000000,0
workspaceModel.on.before.changed.ms,1754247710740000000,1754247770704000000,0
workspaceModel.loading.total.ms,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValueWithParameters.clear.count,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValue.calculated.count,1754247710740000000,1754247770704000000,1
workspaceModel.full.replace.project.model.ms,1754247710740000000,1754247770704000000,0
workspaceModel.updates.precise.ms,1754247710740000000,1754247770704000000,0
workspaceModel.update.unloaded.entities.ms,1754247710740000000,1754247770704000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1754247710740000000,1754247770704000000,0
workspaceModel.check.recursive.update.ms,1754247710740000000,1754247770704000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1754247710740000000,1754247770704000000,0
workspaceModel.updates.count,1754247710740000000,1754247770704000000,0
Indexing.cache.totalCacheMisses,1754247710740000000,1754247770704000000,3999
Indexing.writer_1.totalTimeSpentWritingMs,1754247710740000000,1754247770704000000,0
Indexing.writesQueuedMin,1754247710740000000,1754247770704000000,9223372036854775807
Indexing.writesQueuedMax,1754247710740000000,1754247770704000000,0
Indexing.cache.totalCacheAccesses,1754247710740000000,1754247770704000000,4767
Indexing.cache.totalCacheEvicted,1754247710740000000,1754247770704000000,3466
Indexing.writer_3.totalTimeSpentWritingMs,1754247710740000000,1754247770704000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1754247710740000000,1754247770704000000,0
Indexing.totalTimeIndexersSleptMs,1754247710740000000,1754247770704000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1754247710740000000,1754247770704000000,0
writeAction.count,1754247710740000000,1754247770704000000,18
writeAction.median.wait.ms,1754247710740000000,1754247770704000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1754247710740000000,1754247770704000000,46246781
writeAction.max.wait.ms,1754247710740000000,1754247770704000000,49
writeAction.wait.ms,1754247710740000000,1754247770704000000,100
